Szalinski - Rehe,52.285495,8.050504
Trauerhalle,52.288269,8.042541
Cathedral,52.289164,8.042165
Sitzen Im Bürgerpark,52.287624,8.047779
Bronze Pferdestatue,52.289586,8.090947
Kapelle Am Heger Friedhof ,52.269262,8.001089
Spielplatz Am Schölerberg,52.256496,8.059377
Justus W. Lyra Denkmal,52.269403,8.044359
Sport im Park,52.268276,8.044523
WW2 Bunker,52.268512,8.038991
Soldatendenkmal - Osnabrück,52.275779,8.031171
Energie,52.273567,8.055196
Friedhofskapelle,52.260615,8.055683
Metallbogen,52.261601,8.047936
Insektenhotel,52.279346,8.029188
Friedens Labyrinth,52.258349,8.051401
Industriekultur am Jahnplatz,52.269833,8.03309
Skatepark Liebigstraße,52.280314,8.056713
Wasserhochbehälter,52.280511,8.028903
Botanischer Garten Osnabrück,52.28183,8.028027
Steinskulptur,52.278816,8.00431
Kunst Am Krankenhaus,52.276818,8.005602
Stonehenge OS,52.281201,8.018125
Solar Flowerpower,52.281797,8.024723
Lokomotiven Achse ,52.275168,8.070425
Historische Landwehr Eversburg,52.291219,7.987957
Bunte Tische,52.291621,7.989796
Seniorenzentrum Eversburg,52.297045,7.989807
Mural an Verteilerhaus,52.298773,8.068667
Bust Statue,52.205332,8.040101
Lady Mural,52.302053,7.991629
Hofrat Buch Denkmal,52.337725,7.952183
Der Brunnen ,52.249873,8.093078
Dove Denkmal,52.352033,8.016294
Jesus Portal,52.255988,8.086297
Jesuskreuz am Haus Brinke,52.209906,8.088501
Landmark 3,52.322066,8.042771
Waldbad,52.200885,8.032301
Marienheim Sutthausen,52.234881,8.017002
Watercube,52.234034,8.014284
Totem Circle,52.248611,8.072079
Nilpferdstatue,52.248881,8.075996
Karmann Gedenktafel,52.250509,8.072718
Flying Rhino,52.251729,8.068263
Don Quijote,52.341269,8.033949
Playground,52.283873,7.992857
Kreuz Im Esch,52.332076,8.075332
Waldhütte,52.209647,8.018267
Kunstsinn,52.30119,8.048624
